Identifier,Company Name,Country of Exchange,"Company Market Cap(USD)","Historic P/E(FY0)","Total Debt to Total Equity, Percent(FY0)",Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To Sales (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),"Enterprise Value (Daily Time Series)(USD)",Price To Book Value Per Share (Daily Time Series Ratio),"Quick Ratio(FY0)","Current Ratio(FY0)","Total Assets, Reported(FY0, USD)",Dividend yield,"Revenue(FY0, USD)","Net Income After Taxes(FY0, USD)","Capital Expenditures(FY0, USD)","Retained Earnings, TTM(FI0, USD)"
C32.HM,Construction Investment Corp 3-2,Vietnam,25313283.21,4.09,0.04,3.98,0.94,6.18,0.1,22601787.26,1.66,2.42,2.89,19817420.76,0.05,24795698.47,4505654.5,-645326.91,4154313.09
SMA.HM,Saigon Machinery Spare Parts JSC,Vietnam,4184389.55,233.76,2.62,10.46,0.78,,0.83,24756397.17,0.56,0.68,1.03,38155049.01,,36022149.02,17178.7,0,-64607.21
ELC.HM,Electronics Communications Technology Investment Development Corp,Vietnam,48791257.09,12.41,0.29,9.14,1.85,15.14,0.19,57633367.93,1.57,1.89,2.45,50736447.43,0.04,32173851.73,3253901.41,-1910230.24,3143412.58
DSN.HM,Dam Sen Water Park Corp,Vietnam,35150152.17,10.94,,7.15,3.59,12.84,0,28798607.22,5.1,21.49,21.6,8795972.36,0.05,7641341.17,3135768.3,-16589.19,2244686.7
STU.HNO,SonTay Urban Construction and Environment JSC,Vietnam,2518796.99,,,,,,0,812360.57,0.88,,,3723883.58,0.06,4663795.58,,-154084.44,
KAC.HM,Khang An Investment Real Estate JSC,Vietnam,8378087.73,8.51,0,7.09,1.06,10.54,0.01,7956950.48,0.74,0.55,0.57,19215231.2,0,7443732.69,840603.44,-169461.74,828306.01
HQC.HM,Hoang Quan Consulting Trading Service Real Estate Corp,Vietnam,99280343.72,2.08,0.2,18.39,2.54,9.84,0.26,136388110.9,0.56,1.84,2.34,283785665.4,0,61815523.82,28530180.06,-633100.9,
TDW.HM,Thu Duc Water Supply JSC,Vietnam,9928839.96,7.58,0.37,5.9,0.39,13.31,0.34,9579827.09,1.43,1.02,1.08,17132224.24,0.05,23536463.8,1151808.77,-2240185,748654.16
ARM.HN,General Aviation Import Export JSC,Vietnam,4281780.61,10.27,0.01,5.95,0.39,10.29,0.03,2785642.69,1.92,1.47,1.69,4091819.38,0.09,9764689.13,315676.26,-15654.94,346170.09
KTT.HN,Thien Truong Power Equipment Investment and Construction JSC,Vietnam,502551.02,30.22,0.16,5.82,0.1,38.83,0,344960.96,0.38,1.13,1.87,2338809.48,0,3007264.73,13484.71,-1601.42,12988.34
SDK.HNO,Mechanical Engineering Metallurgy JSC,Vietnam,3025420.69,4.69,0.27,6.41,0.46,8.8,0.16,3235799.93,1.65,0.9,1.8,3295778.64,0.1,7330229.39,360907.13,-261369.48,141300.21
LM7.HN,Lilama 7 JSC,Vietnam,693698.53,146.24,1.69,6.54,0.71,150.59,0.86,4828084.54,0.29,0.65,1.03,10073577.66,0,6721851.64,5019.21,-46684.74,5032.35
DVH.HNO,Viet Nam Hungari Electric Machinery Manufacturing JSC,Vietnam,1304377.01,,,,,,0.73,4632704.52,0.5,,,3723359.06,0.15,8683946.89,,-50183.05,
SGS.HNO,Saigon Shipping JSC,Vietnam,3614035.09,2.87,0.04,1.38,0.45,3.74,0.13,2013714.41,0.57,2.42,2.45,8806101.59,0,5983761.26,1465771.43,-47486.22,1046970.5
SCR.HN,Saigon Thuong Tin Real Estate JSC,Vietnam,94234273.17,8.82,0.19,,18.87,9.88,0.36,130389738.6,0.71,0.8,2.6,222720286.3,0,7068402.53,8814460.84,-19709.44,8828944.34
CMX.HM,Ca Mau Frozen Seafood Processing Import Export Corp,Vietnam,2958564.72,2.68,6.03,6.89,0.55,3.07,0.88,20821994.49,0.92,0.22,0.75,30189702.73,,36132341.44,1096965.31,-1551323.71,946438.93
LM8.HM,Lilama 18 JSC,Vietnam,11219021.19,4.02,2.95,6.59,0.61,4.8,0.96,39237741.59,980.38,0.52,1.04,71965088.6,0.05,68116500.53,2392659.71,-1312564.84,2320754.61
LCD.HN,Erection Electromechanics Testing JSC,Vietnam,530324.27,7.57,1.06,3.59,0.23,4.76,0.61,1038795.7,0.48,0.67,1.1,3660031.66,0.11,3350299.93,88166.79,-597197.15,110160.56
PFL.HNO,Petroleum Dong Do JSC,Vietnam,4251700.68,,,,4.63,,0.35,5893311.78,0.25,,,25475056.95,0,4799531.55,,-25903.38,
AVF.HNO,Anvifish Joint Stock Co,Vietnam,969790.55,,,,9.85,,0.98,47162726.73,-0.03,0.45,0.45,39991854.1,0,4553912.86,-15556552.51,-74189.34,-15062881.2
PRC.HN,Portserco Logistics JSC,Vietnam,596133.19,,0.59,6.27,0.22,6.5,0.61,1390602.78,0.49,0.92,1.06,2874128.6,0.18,6567721.18,97940.57,-457562.22,92386.23
CMS.HN,Viet Nam Construction and Manpower JSC,Vietnam,5927318.3,6.66,0.21,2.91,0.21,8.36,0.51,3276617.57,0.64,1.45,2.06,15345179.08,0,15535994.35,841903.91,-287606.66,518798.1
VNF.HN,Vinafreight JSC,Vietnam,12996509.13,10.49,0.29,10.64,0.12,9.4,0.14,10153639.62,1.4,1.49,1.49,20728754.95,0.04,86604904.2,1897578.87,-60897.4,1268811.65
PX1.HNO,Cement JSC Song Lam 2,Vietnam,6265664.16,,3.1,,,,,6272401.43,,0.83,0.91,43896471.11,0,2927667.65,454.33,-1581315.06,
PXL.HNO,Idico Petroleum Trading Construction Investment JSC,Vietnam,8885307.41,,0.13,,11.42,,0.44,10295992.89,0.25,0.89,2.07,52461543.69,0,942714.06,-397465.58,-27273.35,-395390.42
VKC.HN,Vinh Khanh Cable Plastic Corp,Vietnam,9541711.42,7.68,1.35,6.76,0.35,6.75,0.65,17754928.76,1.22,0.66,1.12,25596658.48,0.06,46969945.56,1007757.28,-1498584.75,1060087.4
EVE.HM,Everpia JSC,Vietnam,66384060.78,6.54,0.11,7.7,1.57,12.81,0.09,59897587.84,1.54,2.67,5.03,49289151.09,0.04,39173750.12,5050848.15,-2203140.33,4967139.41
VAT.HN,Van Xuan VT JSC,Vietnam,3217564.02,5.98,0.7,9.23,0.84,8.39,0.28,4270058.28,1.45,1.51,1.62,4915122.24,0,4229621,248810.35,-148477.19,279703.8
PV2.HN,PV2 Investment JSC,Vietnam,3465112.78,162.67,0,30.64,3.11,32.3,0,1767771.15,0.35,1.89,2.14,11251988.42,0,596834.02,21171.97,,107652.16
MNC.HN,Mai Linh Central JSC,Vietnam,2907036.65,23.32,4.22,3.45,0.94,58.17,0.89,24306209.84,0.57,0.37,0.39,35283703.42,0.07,24171762.99,175345.9,-10131015.59,49816.26
VTI.HNO,Textile Garment Import Export and Production Joint Stock Corp,Vietnam,612927.03,,,,,,1.09,10858609.21,-0.15,,,6031890.74,0,3837149.01,,0,
HTI.HM,Idico Infrastructure Development Investment JSC,Vietnam,18423818.47,6.41,2.19,5.78,3.49,7.12,0.68,53386572.26,1.08,0.76,0.94,56367069.32,0.1,13498686.4,2569846.54,-4518340.08,2628384.14
VLF.HNO,Vinh Long Cereal and Food Corp,Vietnam,481739.34,,122.6,,1.13,,0.97,8098456.89,-1.66,0.46,0.47,8598554.54,0,9303810.38,-3294474.7,0,-3275344.2
VSI.HM,Water Supply Sewerage Construction and Investment JSC,Vietnam,8861437.3,6.07,0.07,1.62,0.2,6.18,0.16,5393218.06,1,1.38,1.49,18319284.54,0.1,27578632.65,1330971.71,-545523.65,1433613.52
ADC.HN,Art Design & Communication JSC,Vietnam,2396616.54,13.95,0.03,3.4,0.16,8.99,0.09,1512539.2,1.48,1.04,1.23,3644824.13,0.09,8958291.42,291669.01,-435005.88,82933.73
HDA.HN,Dong A Paint JSC,Vietnam,8234872.9,5.61,0.21,7.67,1.24,9.4,0.13,8853377.45,1.34,1.53,1.91,8936432.58,0.05,6691522.94,558300.81,-693785.46,696218.36
PCG.HN,Petrovietnam Gas City Investment and Development JSC,Vietnam,6502819.55,22.66,0,,-0.06,71.66,,-1768394.21,0.62,2.22,2.34,15726591.43,0.05,29492942.29,248206.03,-99482.25,81808.21
S33.HNO,333 Sugar JSC,Vietnam,3355830.69,3.45,0.5,,,,0.81,10126300.86,0.35,0.9,1.13,15736747.96,0.17,21114894.29,1613211.63,-161281.41,
KST.HN,Kasati JSC,Vietnam,657019.74,4.26,0.01,-0.16,-0.01,3.45,,-36113.33,0.26,1.59,1.77,5366932.31,0.2,5445366.38,189033.66,-7918.15,195075.96
KTS.HN,Kon Tum Sugar JSC,Vietnam,11912593.98,3.42,0,5.27,0.71,5.79,0.05,11585219.48,1.73,4.05,4.44,6858157.7,0.08,13031632.44,1022761.49,-286237.92,1200041.86
SSG.HNO,Seagull Shipping Co,Vietnam,267518.26,,525.42,8.42,1.65,,0.96,5649610.17,23.16,0.1,0.14,7775439.75,0,3698063.29,-472480.74,,-469187.42
BSC.HN,Ben Thanh Service JSC,Vietnam,2792015.33,25.13,0,9.37,1.48,35.24,0,1716245.11,1.63,6.09,6.14,2398042.29,0.02,1164132.86,86451.46,-49801.48,79543.9
PPS.HN,PertroVietnam Power Services JSC,Vietnam,7384532.76,6.64,0.36,-8.13,-0.25,6.6,,-14802614.22,0.86,0.26,1.04,153180305.5,0.12,56915049.2,1105781.51,-546914.25,1122328.8
D26.HNO,Road Management and Construction JSC 26,Vietnam,228249.19,,,,,,0.57,467971.05,0.29,,,2266847.26,0.27,2503368.33,,-116138.94,
HTL.HM,Truong Long Engineering and Auto JSC,Vietnam,44575725.03,12.94,0,6.15,0.52,7.94,0.01,43126917.85,4.31,0.28,1.6,19696974.54,0.04,75920200.3,6020368.76,-927409.06,6294955.47
NOS.HNO,Northern Shipping JSC,Vietnam,524326.85,,,,,,1,159116548.9,0,,,113395605.4,0,12278496.66,,-3081.53,
CLW.HM,Cho Lon Water Supply JSC,Vietnam,10065341.93,10.03,0.05,4.77,0.18,15.63,0.05,7126742.17,1.01,0.49,0.59,18042185.21,0.05,37949335.11,1228065.51,-876894.2,605192.13
TVD.HN,Vinacomin Vang Danh Coal JSC,Vietnam,13541408.38,9.05,2.6,3.27,0.54,10.52,0.81,69748776.36,0.65,0.33,0.51,100777665,0.1,147239290.6,2522178.71,-28072955.61,1291945.66
BHT.HN,Bach Dang TMC Construction Investment JSC,Vietnam,885248.84,,2.1,,8.71,,0.86,5138905.57,0.42,0.85,2.4,9114854.29,0,439157.89,-259372.76,0,-303039.39
MDG.HM,Mien Dong JSC,Vietnam,4482204.43,24.49,0.58,13.93,0.58,24.79,0.58,6280366.49,0.66,0.56,1.04,16119453.97,0,10800665.5,120717.2,-762614.43,168347.54
PTD.HN,Phuc Thinh Design Construction Trading Corp,Vietnam,2864303.62,4.28,0.34,,,,0.41,3597027.47,0.95,0.67,1.36,7227630.15,0.1,22309636.89,603853.88,-1132833.54,
NKG.HM,Nam Kim Steel JSC,Vietnam,45905137.87,4.15,3.09,7.08,0.56,6.07,0.75,158960660.2,1.75,0.35,0.86,158914040.5,0,255816651.3,5607685.28,-31848284.15,7703045.46
TSB.HN,Tiasang Battery JSC,Vietnam,2566083.96,26.51,0.73,8.48,0.64,21.7,0.46,4951011.85,0.88,0.47,1.38,5940687,0,7473916.59,115465.71,-101076.54,125570.62
VCF.HM,Vinacafe Bien Hoa JSC,Vietnam,166535933.6,12.24,0.15,8.18,0.92,12.93,0.12,122720799.5,2.11,2.13,2.55,112520482.9,0,133437273.8,13138378.64,-6419607.26,12923196.75
KCE.HNO,Khanh Hoa Power Centrifugal Concrete JSC,Vietnam,1208378.09,,,,,,0.03,1023110.48,1.04,,,1781782.29,0.12,2504113.77,,-129461.45,
MTH.HNO,Ha Dong Environment Public Service JSC,Vietnam,4842766.11,,,,,,0,4130180.81,0.76,,,5832624.23,0.03,9979047.08,,-1110246.48,
MCF.HN,Mechanics Construction and Foodstuff JSC,Vietnam,5298961.69,12.85,0.05,8.21,0.4,13.85,0.54,8032281.7,1.01,1.12,2.86,6899705.25,0.07,20449344.72,531770.92,-467639.67,389060.86
DNM.HN,Danameco Medical Joint Stock Corp,Vietnam,6073476.32,8.99,0.45,5.99,0.73,8.62,0.16,6273580.12,1.65,1.36,1.65,6039530.25,0.1,8145747.4,658359.81,-117042.09,370958.26
FBA.HNO,FBA International Group Corp,Vietnam,320949.25,34.38,0.12,,,,,321294.35,,1.05,1.58,3407114.24,0,2720851.06,91132.21,-829.19,
VCA.HNO,Vnsteel Vicasa JSC,Vietnam,6321253.79,3.72,0.38,2.58,0.17,4.11,0.53,11181501.33,0.67,0.77,2.11,15440710.42,0.16,62350991.79,1705010.14,-285633.46,791227.77
PXA.HN,PetroVietnam Nghe An Investment & Trading JSC,Vietnam,1544038.67,326.47,0.97,13.43,1.44,270.92,0.61,3083909.29,0.79,0.31,1.42,9826231.65,0,2098924.68,6540.31,-2609.43,5719.69
D11.HN,Real Estate 11 JSC,Vietnam,1876681.85,32.59,0,,-0.39,30.82,,-2039574.58,0.56,1.7,1.91,7262534.48,0.15,4449289.83,90644.23,0,61118.32
MDF.HNO,MDF VRG Quang Tri Wood JSC,Vietnam,17759482.81,,,,,,0.7,40274649.42,0.61,,,60103277.22,0.07,17984974.02,,-26221835.71,
VDT.HNO,Binh Tay Steel Wire Netting JSC,Vietnam,967570.71,5.29,0.16,,,,0,597512,0.67,0.58,1.91,1715626.1,0.11,3988542.77,155273.99,0,
PTI.HN,Post & Telecommunication Joint Stock Insurance Corp,Vietnam,86354145.01,9.41,0,12.7,0.77,9.54,0,73121250.05,1.05,,,190745671.4,0.05,,7129314.24,-2056184.07,3049509.93
CCL.HM,Cuu Long Petro Urban Development and Investment Corp,Vietnam,4699227.53,40.21,0.81,84.19,6.75,47.44,0.69,14669150.66,0.37,0.31,1.71,24899115.38,0,1923965.62,92322.09,0,97759.23
PSG.HNO,Sai Gon Petroleum Construction and Investment JSC,Vietnam,783208.02,,,,,,,784050.18,,0.21,0.52,42400985.42,0,-257861.01,-10568857.58,148622.62,-10866653.77
HU3.HM,HUD3 Investment and Construction JSC,Vietnam,3490850.48,5.01,0.19,2.02,0.18,4.33,0.26,3754088.73,0.45,0.64,1.28,27587232.03,0.08,18974817.17,699416.62,-124359.31,797988.45
TIS.HNO,Thai Nguyen Iron and Steel Joint Stock Corp,Vietnam,76262083.78,,,11.87,0.93,21.8,0.9,333181266.7,0.68,,,489266539,0,351393989,,-3745961.89,
CZC.HNO,Vinacomin Central Zone Coal JSC,Vietnam,1970119.5,,,,,,0.56,3795184.18,0.67,,,6205850.38,0.06,23498103.84,,-368109.48,
DLD.HNO,DakLak Tourist JSC,Vietnam,2874201.73,,1.29,10.5,2.11,,0.64,7547785.77,0.78,0.62,0.69,8908048.73,0,3684790.25,3538.88,-419390.71,-29312.85
H11.HNO,HUD101 Construction JSC,Vietnam,407984.25,80.16,0.78,,,,0.52,804107.99,0.76,0.95,1.35,1911890.2,0,849369.98,4235.14,,
SWC.HNO,Southern Waterborne Transport Corp,Vietnam,45345954.17,,,49.76,6.17,29.6,0.09,40245993.86,1.07,,,49985866.76,0.03,9610695.06,,-10878.36,
C47.HM,Construction JSC 47,Vietnam,7142857.14,5.88,6.21,7.13,1.08,5.92,0.88,70267560.83,0.72,0.41,1.08,101676927.8,0,67771638.85,1194523.12,-21800367.25,1275862.54
DIH.HN,Development Investment Construction Hoi An JSC,Vietnam,1226426.55,8.38,0.67,6.65,0.19,8.91,0.5,2010368.94,0.56,0.75,1.3,9906406.32,0.1,9908321.78,133300.94,-12010.68,13373.76
NDN.HN,Danang Housing Investment Development JSC,Vietnam,17726805.57,5.49,0.03,1.18,0.46,8.87,0.08,4272349.43,0.78,2.74,4.19,22229169,0.13,10771113.69,2615081.53,-215529.75,144302.16
SDV.HNO,Sonadezi Services JSC,Vietnam,4251700.68,,,,,,0.32,6302478.09,1.14,,,8765795.41,0.08,5825767.42,,-1656835.96,
GHC.HNO,Gia Lai Hydropower JSC,Vietnam,22019334.05,,,,,,0.11,23255016.93,1.54,,,18550387.59,0.13,5317585.44,,-43683.02,
VIE.HN,Vi Te Co Vietnam Telecommunications Technology JSC,Vietnam,97822.31,,0.01,,-0.02,6.25,,-16479.09,0.17,1.18,1.5,1232682.1,0,964870.62,14433.59,0,16838.72
DLC.HNO,Can Tho Tourist JSC,Vietnam,7444807.73,,,,,,0.11,8223490.79,,,,3488989.37,0,3778198.29,,-81337.39,
IDI.HM,International Development & Investment Corp,Vietnam,56895260.34,8.78,1.63,9.44,0.91,8.28,0.79,113919487.4,0.62,0.97,1.37,154813584.6,0,113140472.7,4632342.25,-10925782.84,4216527.07
TNY.HNO,Youth Investment Construction Corp,Vietnam,1490332.98,,,,,,0.91,4404456.42,,,,21017311.22,0.15,20074393.35,,,
BGM.HM,BacGiang Exploitable Mineral JSC,Vietnam,4504943.07,9.7,0,2.03,1.17,13.29,0.01,4394698.13,0.23,6.03,8.39,21674475.71,0,5198398.17,314063.66,-8989.27,269489.02
JVC.HM,Japan Vietnam Medical Instrument JSC,Vietnam,22657123.59,,0.04,,0.86,,0.16,23128608.77,0.38,3.44,4.61,66111375.23,,18175335.56,-27862390.34,-59960.55,-27862390.34
SDI.HNO,Saidong Urban Development & Investment JSC,Vietnam,222333786.3,,,,,,0.29,228247868.2,2,,,239778434.2,0.2,16952498.43,,-332939.08,
STT.HM,Saigon Tourist Transport Corp,Vietnam,3222341.57,,0.01,,1.02,,0,2190474.88,2.05,1.89,1.92,2237962.72,0,2582103.42,-895060.69,,-999271.44
CI5.HNO,No5 Construction Investment JSC,Vietnam,1993766.25,,,,,,0.41,2741029.27,1.26,,,12248539.07,0.08,19332568.99,,-44096.98,
PTB.HM,Phu Tai JSC,Vietnam,96673555.32,10.42,0.95,6.86,0.81,14.6,0.21,115890232.2,3.94,0.63,1.14,55224538.28,0,135492682.1,8160837.15,-8310453.97,7144119.3
CIG.HM,Coma18 JSC,Vietnam,1624053.75,,6.29,,1.88,,0.84,7567486.87,1.45,0.29,1.24,18976434.32,,4187945.93,-1707445.55,-38642.05,-1683684.77
INC.HN,IDICO Investment Consultancy JSC,Vietnam,492302.18,8.05,0.04,2.99,0.35,10.19,0.17,347583.35,0.43,1.22,2.28,1877140.04,0,932622.02,56341.78,-62406.63,48472.81
BSI.HM,BIDV Securities JSC,Vietnam,34841568.21,7.76,1.35,-2.88,-0.64,7.76,,-13363964.75,0.91,1.62,1.62,98364406.44,0,20697878.21,4514704.76,-210625.78,5029676.35
THG.HM,Tien Giang Investment and Construction JSC,Vietnam,21482277.12,6.53,1.06,6.27,0.74,9.11,0.26,23571166.32,2.23,0.71,1.23,26788713.12,0.04,31115263.01,2491596.6,-1432978.4,1488108.65
HOT.HM,Hoi An Tourist Service JSC,Vietnam,9666948.58,23.66,0.1,8.62,1.43,29.23,0.05,10781413.18,2.23,0.54,0.64,6478993.52,0.04,7321714.29,420505.77,-862438.7,356315.07
SVN.HN,Solavina JSC,Vietnam,4135338.35,12.34,0,31.04,0.9,6.29,0,4258704.88,0.41,0.97,1.39,11688730.92,0,3553192.65,324315.76,-88.97,570755.91
IVS.HN,Vietnam Investment Securities Co,Vietnam,12897869.67,51.02,0,16.92,6.55,54.55,0,8807250.48,1.71,2.9,2.9,10256498.23,0.02,1369593.31,240057.75,-19523.24,31696.57
PGI.HM,Petrolimex Insurance Corp,Vietnam,50822927.32,14.89,0,29.88,0.51,14.33,0,44136696.74,1.37,,,165184796.4,0.06,,4141655.95,-1819497.01,3532409.64
BIC.HM,BIDV Insurance Corp,Vietnam,118095691.8,12.49,0,233.78,2.26,16.5,0,115561403.4,1.3,,,193249528.7,0.03,,5529156.09,-608178.22,5374861.13
DNL.HNO,Da Nang Port Logistics JSC,Vietnam,2255639.1,,,,,,0,1757101.28,1.22,,,1982810.34,0.07,1120599.35,,-350591.61,
FDT.HN,Fiditour JSC,Vietnam,4374507.7,,0.84,,0.18,,0.25,4954762.3,3.27,1.28,1.55,5325356.45,0.03,27018824.09,-539791.23,-788123.26,-234460.62
L14.HN,LICOGI 14 JSC,Vietnam,12036519.87,5.58,0.39,8.9,0.45,12.7,0.09,12715927.51,3.79,0.09,1.09,21811848.9,0,28463962.9,907854.34,-17943.57,775636.67
GMX.HN,MY Xuan Brick Tile Pottery and Construction JSC,Vietnam,4495303.76,7.05,0.13,2.76,0.39,7.87,0,3312153.5,1.3,0.83,1.44,4985990.48,0.11,8128913.91,759327.38,-421364.1,375019.11
SVT.HM,Saigon Viendong Technology JSC,Vietnam,2569812.84,14.38,0.01,7.97,0.57,8.11,0.01,2459137.9,0.47,1.07,1.56,6867948.56,0,4556136.67,389627.73,,318480.04
LCM.HM,Lao Cai Mineral Exploitation and Processing JSC,Vietnam,2976574.66,12.01,0,,0.82,,0,3221968.86,0.31,25.46,35.34,10423550.91,0,1271129.89,154792.42,,-203561.87
PPE.HN,PetroVietnam Power Engineering Consulting JSC,Vietnam,1512710.35,5.04,0,4.03,0.94,5.39,0,1503539.27,1.67,2.56,2.69,1433979.77,0,1592314.58,279032.47,,281564.3
FLC.HM,FLC Group JSC,Vietnam,154142721.3,4.05,0.23,6.71,0.92,3.72,0.33,250805425.7,0.57,1.68,1.94,436602012.7,,236932755.5,40118945.1,-158235886.9,38306933.69
BVN.HNO,Vietnam Cotton JSC,Vietnam,1812567.13,,1.6,,,,0.73,6633426.76,0.54,1.07,1.69,9535843.8,0.06,12693280.88,323921.54,-12492.34,
TDS.HNO,Thu Duc Steel JSC,Vietnam,6675160.88,,,3.6,0.17,3.69,0.76,13034073.94,0.82,,,16961834.75,0.12,70427731.92,,-266943.7,
MEF.HNO,Meinfa JSC,Vietnam,149282.75,,,,,,1.12,2613845.84,,,,7486824.98,4.44,11955566.05,,-954662.07,
MBB.HM,Military Commercial Joint Stock Bank,Vietnam,1116947808,7.67,0,4.21,1.28,5.29,0,771892517.8,1.07,,,9832828870,0.03,,111749733.1,-13238078.29,90460216.24
HFX.HNO,Thanh Ha Production and Import Export JSC,Vietnam,79573.93,,,,,,1.26,2365334.19,,,,1441903.94,0,1876581.52,,-23294.31,
NHN.HNO,Hanoi Southern City Development JSC,Vietnam,268528464,,,,,,0.61,592307703.9,2.21,,,1125740150,0.17,218877356.2,,-32830653.06,
CNG.HM,CNG Vietnam JSC,Vietnam,48334538.13,7.86,0.19,4.65,0.98,10,0.08,41435557.74,2.8,2.18,2.31,28638621.31,0.08,42269034.59,5281454.36,-5453373.55,3037107.63
PJS.HNO,Phu Hoa Tan Water Supply JSC,Vietnam,6162728.25,,,,,,0,3549602.3,0.95,,,8359273.99,0.05,13470810.95,,-807897.41,
BRC.HM,Ben Thanh Rubber JSC,Vietnam,5538398.23,8.83,0.37,4.32,0.84,7.25,0.42,6961021.12,0.63,1.74,2.49,12532902.86,0.09,8004203.17,635897.37,-456691.17,766908.35
STV.HNO,Viet Nam Stone Work Top Fabrication JSC,Vietnam,7403502.06,,,,,,0,6103134.58,1.24,,,5126018.23,0.02,4813149.04,,-132654.34,
HHS.HM,Hoang Huy Investment Services JSC,Vietnam,112272636.3,3.77,0.03,3.01,0.33,3.63,0,50705226.13,0.88,8.67,13.3,130688557.2,0.12,156049749.6,21404735.86,-159992.41,10694088.77
GSP.HM,International Gas Product Shipping JSC,Vietnam,20005370.57,8.85,0.24,2.4,0.27,8.72,0.29,13113958.01,1.13,2.43,2.52,29673880.45,0.08,47333933.02,2967874.6,-14880.03,2318667.03
AMC.HN,Asia Mineral JSC,Vietnam,3826530.61,7.7,0.42,4.63,0.59,7.28,0.13,4424125.93,1.7,0.87,1.17,4015205.17,0.12,7215951.77,545413.23,-558644.84,543063.48
KHL.HN,Hung Long Mineral and Building Material JSC,Vietnam,1074113.86,,0.18,,1.93,,0.49,1629116.55,0.2,0.68,1.09,8187133.05,0,972253.48,-121902.1,0,-149489.61
LAS.HN,Lam Thao Fertilizers & Chemicals JSC,Vietnam,95792158.97,7.88,0.52,6.12,0.6,8.32,0.28,114175697.5,1.59,0.97,1.81,120176790.7,0.11,206905469.8,13624797.13,-1287439.32,11684203.58
ASA.HN,WMT Sana Joint Venture JSC,Vietnam,1521661.3,24.04,0.02,9.87,0.15,18.24,0.05,1471731.97,0.33,1.21,2.33,5637708.63,0.03,8850617.98,61692.53,0,41378.52
DRL.HM,Hydro Power JSC Power No3,Vietnam,13605442.18,10.5,0,5.97,4.21,10.27,0,11371920.38,2.71,2.9,2.94,5951223.36,0.08,2813432.1,1541814.1,-63300.88,-51255
NTW.HNO,Nhon Trach Water Supply JSC,Vietnam,11748120.3,8.75,0,,,,0,7177657.36,1.6,5.68,6.02,8999370.68,0.06,5458158.18,1469322.6,-866611.19,
GAS.HM,Petrovietnam Gas Joint Stock Corp,Vietnam,5137884184,8.23,0.15,8.21,1.6,16.31,0.07,4511863799,2.78,3.62,3.76,2522891739,0.07,2860329361,392888163.6,-210725918,115378872
CTX.HN,Vietnam Investment Construction and Trading Joint Stock Corp,Vietnam,21230236.31,35.74,1.24,49.28,3.38,26.26,0.53,43685896.92,0.87,0.59,1.06,95161270.54,,14640397.28,801874.53,-3939239.61,811766.15
NNT.HNO,Ninh Thuan Water Supply JSC,Vietnam,6807138.94,,,,,,,,,,,,0.07,,,,
LKW.HNO,Long Khanh Water Supply JSC,Vietnam,1790189.76,,,,,,,,,,,,0.08,,,,
DHM.HM,Duong Hieu Trading and Mining JSC,Vietnam,13356126.88,28.88,0.19,28.05,0.69,46.73,0.13,14884827.85,1.05,1.05,2.14,15461273.26,,21162131.21,233291.48,-65425.19,287956.33
FCN.HM,Fecon Corp,Vietnam,42767975.68,6.72,0.9,6.19,1,7.32,0.41,76122099.59,1.26,1.21,1.51,131221183.7,0.05,73868032.5,6877773.49,-8484032.45,5999959.81
MTC.HNO,My Tra Tourist JSC,Vietnam,2300000,,,,,,,,,,,,,,,,
VE8.HN,Vneco8 Electricity Construction JSC,Vietnam,886143.93,5.28,0.59,6.44,0.76,7.42,0.4,1658879.93,1.02,1.33,1.55,2066590,0.12,2174827.14,142484.48,-6059.93,135191.99
SII.HM,Sai Gon Water Infrastructure Corp,Vietnam,67398227.71,13.89,0.97,15.06,4.34,14.02,0.35,116465736.6,1.77,3.78,3.91,128475399.2,0,26328343.61,5932316.48,-64112518.13,5048066.59
NBS.HNO,NgheAn Bus Station JSC,Vietnam,9483308.27,,,,,,,,,,,,0,,,,
ITQ.HN,Thien Quang Group JSC,Vietnam,6829446.47,6.51,0.5,7.3,0.47,8.39,0.5,10169190.66,0.6,0.88,1.99,20426594.25,0.08,23780168.86,777949.18,-1898717.09,557197.34
PTK.HNO,Phu Thinh Metallurgy JSC,Vietnam,871358.14,109.54,0.15,8.92,0.39,44.65,0.8,1962305.03,0.16,1.39,1.51,16128515.93,,4710262.11,36910.2,-87061.61,38219.67
SPI.HN,Stone Company Spilit,Vietnam,7149234.69,28.62,0.36,7.24,2.38,19.46,0.23,9132110.09,0.76,1.12,1.65,12352139.57,0,3231451.1,62074.59,-889.68,330309.69
SLS.HN,Son La Sugar JSC,Vietnam,34085213.03,4.44,0.05,6.08,1.28,6.77,0.05,35237984.5,3.15,2.08,2.7,11686828.16,0.07,24605916.54,3508377.72,-1634122.17,3399173.32
VE4.HN,VNECO4 Electricity Construction JSC,Vietnam,575098.46,7.03,0.43,2.93,0.34,5.18,0,498898.78,0.77,1.37,1.45,1669034.46,0.13,1311785.97,102204.48,-28391.01,110634.13
CAD.HNO,Cadovimex Seafood Import Export and Processing JSC,Vietnam,590757.72,34.46,,40.73,1.36,37.6,1.03,19453563.18,-0.64,0.12,0.24,31250367.91,0,22178044.4,56495.9,,39743.34
